City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Seymchan,RU,62.8833,152.4333,-18.24,99,30,3.02,scattered clouds
220,Leningradskaya,RU,46.3214,39.3877,50.32,74,56,9.66,broken clouds
221,Shubarkuduk,KZ,49.1447,56.4872,35.15,80,96,15.55,overcast clouds
222,Beringovskiy,RU,63.05,179.3167,13.82,83,96,18.48,overcast clouds
223,Talnakh,RU,69.4865,88.3972,-11.78,76,31,5.84,scattered clouds
224,Bandarbeyla,SO,9.4942,50.8122,79.86,69,0,7.99,clear sky
225,Mongo,TD,12.1844,18.693,96.35,9,55,8.57,broken clouds
226,Ambulu,ID,-8.345,113.6058,76.39,88,66,2.73,broken clouds
227,Toucheng,TW,24.8592,121.8233,77.0,100,40,4.61,scattered clouds
228,Lac Du Bonnet,CA,50.2536,-96.0612,46.0,91,100,13.0,overcast clouds
229,Nara,JP,34.6851,135.8049,61.0,60,5,7.02,clear sky
230,Tuatapere,NZ,-46.1333,167.6833,41.95,87,49,3.8,scattered clouds
231,Chokurdakh,RU,70.6333,147.9167,-1.91,98,100,3.24,overcast clouds
232,Melfort,CA,52.8667,-104.6177,39.2,52,6,8.05,clear sky
233,Padre Bernardo,BR,-15.35,-48.5,87.85,44,33,4.59,scattered clouds
234,Sabya,SA,17.1495,42.6254,84.2,74,0,11.5,clear sky
235,Yasnyy,RU,51.0333,59.8742,27.95,83,100,10.31,overcast clouds
236,Barranca,PE,-10.75,-77.7667,72.45,73,19,7.74,few clouds
237,Kashi,CN,39.4547,75.9797,41.0,70,40,4.47,scattered clouds
238,Ballsh,AL,40.5989,19.7347,61.72,61,85,2.8,overcast clouds
239,Namibe,AO,-15.1961,12.1522,82.4,74,40,20.71,scattered clouds
240,Ust-Shonosha,RU,61.1531,41.343,31.03,95,100,1.83,overcast clouds
241,Mozarlandia,BR,-14.7447,-50.5706,92.68,45,64,1.21,broken clouds
242,Kirksville,US,40.1948,-92.5833,45.0,36,1,16.11,clear sky
243,Varzob,TJ,38.7737,68.8178,53.6,37,1,6.71,clear sky
244,Maues,BR,-3.3836,-57.7186,87.94,59,95,2.28,overcast clouds
245,Kavieng,PG,-2.5744,150.7967,81.99,79,100,7.83,overcast clouds
246,Ilulissat,GL,69.2167,-51.1,10.4,61,40,6.91,scattered clouds
247,Indiaroba,BR,-11.5192,-37.5117,89.62,47,39,9.71,scattered clouds
248,Whitley Bay,GB,55.0397,-1.4471,50.0,61,75,12.66,broken clouds
249,Thompson,CA,55.7435,-97.8558,39.2,60,40,11.5,scattered clouds
250,Kismayo,SO,-0.3582,42.5454,82.78,78,56,12.53,broken clouds
251,Hasaki,JP,35.7333,140.8333,53.6,76,20,5.75,few clouds
252,Abay,KZ,49.6311,72.8539,24.8,74,0,8.95,clear sky
253,Sao Borja,BR,-28.6606,-56.0044,76.91,53,0,7.4,clear sky
254,Kaduy,RU,59.2,37.15,39.2,60,40,2.24,scattered clouds
255,Acapulco,MX,16.8634,-99.8901,87.8,42,1,2.89,smoke
256,Hirara,JP,24.8,125.2833,75.79,89,17,4.41,few clouds
257,Fallon,US,39.4735,-118.7774,44.6,53,40,4.61,scattered clouds
258,Eberndorf,AT,46.5914,14.6436,68.0,32,20,6.91,few clouds
259,College,US,64.8569,-147.8028,-2.0,71,90,3.44,light snow
260,Montelibano,CO,7.9829,-75.4229,88.86,59,62,5.1,broken clouds
261,Tahta,EG,26.7693,31.5021,73.4,25,0,12.66,clear sky
262,Enying,HU,46.9305,18.242,60.01,36,18,11.01,few clouds
263,Toamasina,MG,-18.1667,49.3833,80.6,65,75,9.22,broken clouds
264,Mecca,SA,21.4267,39.8261,78.55,30,27,16.55,scattered clouds
265,Karratha,AU,-20.7377,116.8463,82.74,52,0,3.15,clear sky
266,Bichura,RU,50.5881,107.6022,29.64,65,39,3.06,scattered clouds
267,Broken Hill,AU,-31.95,141.4333,64.4,45,0,5.75,clear sky
268,Qixingtai,CN,30.4135,111.8874,52.0,83,100,14.52,overcast clouds
269,Cherskiy,RU,68.75,161.3,-17.63,92,39,7.56,scattered clouds
270,Naze,JP,28.3667,129.4833,66.58,93,100,16.44,overcast clouds
271,Agadez,NE,19.75,10.25,84.67,8,0,12.1,clear sky
272,Itarema,BR,-2.9248,-39.9167,86.92,57,25,13.4,scattered clouds
273,Maniitsoq,GL,65.4167,-52.9,15.06,69,100,8.01,overcast clouds
274,Fortuna,US,40.5982,-124.1573,48.0,100,90,4.61,overcast clouds
275,Te Anau,NZ,-45.4167,167.7167,39.54,91,38,1.48,scattered clouds
276,Athabasca,CA,54.7169,-113.2854,35.6,51,69,6.91,broken clouds
277,Pochutla,MX,15.7432,-96.4661,89.01,65,1,5.93,clear sky
278,Waipawa,NZ,-41.4122,175.5153,55.4,67,58,18.41,broken clouds
279,Arlit,NE,18.7369,7.3853,92.01,5,1,8.93,clear sky
280,Lanzhou,CN,36.0564,103.7922,42.01,97,100,4.16,light rain
281,Flinders,AU,-34.5833,150.8552,62.01,86,1,1.01,clear sky
282,Franklin,US,39.9667,-83.0166,39.0,44,20,10.36,few clouds
283,Banda Aceh,ID,5.5577,95.3222,80.58,79,100,11.21,overcast clouds
284,Mandiana,GN,10.6333,-8.6833,104.32,7,12,8.03,few clouds
285,Bereda,ES,43.2686,-7.5406,66.0,64,95,8.99,overcast clouds
286,Constitucion,CL,-35.3333,-72.4167,66.65,57,12,6.78,few clouds
287,Ayni,TJ,39.3941,68.5377,34.11,60,0,7.43,clear sky
288,Nisia Floresta,BR,-6.0911,-35.2086,89.6,58,20,11.5,few clouds
289,Rocha,UY,-34.4833,-54.3333,71.22,63,17,10.07,few clouds
290,Laguna,US,38.421,-121.4238,61.0,62,1,2.91,clear sky
291,Ribeira Grande,PT,38.5167,-28.7,60.8,88,75,19.57,broken clouds
292,Adrar,MR,20.5022,-10.0711,101.44,3,16,9.62,few clouds
293,Rawson,AR,-43.3002,-65.1023,68.85,56,100,15.97,overcast clouds
294,Toora-Khem,RU,52.4675,96.11,20.48,94,13,2.59,few clouds
295,Kikwit,CD,-5.041,18.8162,81.86,69,89,3.44,overcast clouds
296,Lamar,US,33.6668,-95.5836,55.0,46,1,18.41,clear sky
297,Cockburn Town,TC,21.4612,-71.1419,78.13,74,2,18.68,clear sky
