City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
436,Morondava,MG,82.4,clear sky,-20.2833,44.2833,La Case Bambou
437,Camopi,GF,76.75,overcast clouds,3.1655,-52.3158,
441,Denpasar,ID,80.6,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
444,Palauig,PH,80.44,clear sky,15.435,119.9045,Myhousebythesea
447,Luanda,AO,86.0,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
451,Sitapur,IN,78.73,clear sky,27.5667,80.6833,ANNPURNA AWADHESH NANDAN SADAN (अन्नपूर्णा अवधेश नंदन सदन)
453,Vanimo,PG,77.16,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
454,Coahuayana,MX,80.6,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
462,Soyo,AO,89.6,broken clouds,-6.1349,12.3689,Hotel Mpampa
466,Gidam,IN,81.28,few clouds,18.9833,81.4,Dhanshree Lodge And DormItory
468,Port Blair,IN,76.32,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
469,Shirgaon,IN,79.05,broken clouds,19.7,72.7,Samarth Krupa Agro Tourism Farm
473,Port Moresby,PG,75.2,few clouds,-9.4431,147.1797,Lamana Hotel
474,Balfour,ZA,75.99,scattered clouds,-26.6633,28.5902,Bedz4Headz Guesthouse
475,Bubaque,GW,75.78,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
479,Jacmel,HT,86.0,few clouds,18.2342,-72.5347,Hotel Florita
483,Inhambane,MZ,82.4,few clouds,-23.865,35.3833,Oceano
484,Halvad,IN,87.21,clear sky,23.0167,71.1833,"""BHAVANI KRUPA"" Jagdishbhai H. Kariya"
486,Akyab,MM,80.06,few clouds,20.15,92.9,Hotel Memory
488,Pak Phanang,TH,80.92,scattered clouds,8.3511,100.20200000000001,Green Park Inn Hotel
491,Adiake,CI,89.6,few clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
493,Nova Londrina,BR,83.53,few clouds,-22.7658,-52.985,HOTEL FELICE
499,Hobyo,SO,83.01,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
501,Aquiraz,BR,87.8,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
502,Ocos,GT,87.8,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
505,Fare,PF,81.32,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
506,Cupira,BR,88.0,scattered clouds,-8.6167,-35.95,Hotel Farm Home to Glory
509,Diego De Almagro,CL,79.36,clear sky,-26.3667,-70.05,hotel luna del desierto
520,Sulangan,PH,81.7,overcast clouds,11.1373,123.7228,Maia's Beach Resort
524,San Andres,CO,80.6,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
527,Sabang,ID,83.66,overcast clouds,5.8933,95.3214,Hotel Citra
528,Grand Gaube,MU,80.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
529,Acarau,BR,86.79,few clouds,-2.8856,-40.12,castelo pizzaria
530,Puerto Gaitan,CO,82.72,overcast clouds,4.3133,-72.0816,Brisas del Yucao
541,Ugoofaaru,MV,83.46,clear sky,5.6667,73.0,Ungoofaaru Inn
544,Luvianos,MX,78.31,clear sky,18.9167,-100.4,
546,Tucume,PE,75.2,scattered clouds,-6.51,-79.8583,Hospedaje La Posada del Sol
547,Ondjiva,AO,86.0,scattered clouds,-17.0667,15.7333,SOS Motel
549,Kalmunai,LK,81.21,broken clouds,7.4167,81.8167,VS Villa
550,Alyangula,AU,78.62,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
552,Metro,ID,75.61,heavy intensity rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
554,Qui Nhon,VN,77.43,clear sky,13.7667,109.2333,Hoang Yen Canary Hotel
558,Ararangua,BR,76.64,overcast clouds,-28.9347,-49.4858,Hotel Mazzuco
